Focal_Region	Boots	Experiment	Variable
Focal	0.228338928507604	CG	HapD
Undiverged	-0.124975376211749	CG	HapD
Focal	0.102366174622385	CG	HapD
Undiverged	0.179118572571268	CG	HapD
Focal	0.393885257687635	CG	HapD
Undiverged	0.26412346114053	CG	HapD
Focal	0.34034289575542	CG	HapD
Undiverged	-0.00537103434208638	CG	HapD
Focal	0.133874506972226	CG	HapD
Undiverged	0.258044785353261	CG	HapD
Focal	0.312892714633303	CG	HapD
Undiverged	0.0519446875754179	CG	HapD
Focal	0.20711619470812	CG	HapD
Undiverged	-0.117890404736237	CG	HapD
Focal	0.144802319354354	CG	HapD
Undiverged	-0.00147241429774047	CG	HapD
Focal	0.0788083080878187	CG	HapD
Undiverged	0.0897169046402992	CG	HapD
Focal	0.188042746392422	CG	HapD
Undiverged	-0.0150820729630538	CG	HapD
Focal	0.177587038765327	CG	HapD
Undiverged	0.0767156966583817	CG	HapD
Focal	0.22668302921803	CG	HapD
Undiverged	0.140547603332775	CG	HapD
Focal	0.374367994075912	CG	HapD
Undiverged	0.120925054183672	CG	HapD
Focal	0.159053302899882	CG	HapD
Undiverged	0.0658623356080063	CG	HapD
Focal	0.226752106839494	CG	HapD
Undiverged	0.115131725318937	CG	HapD
Focal	0.362734960778823	CG	HapD
Undiverged	0.0573906694676639	CG	HapD
Focal	0.239582418469481	CG	HapD
Undiverged	0.00790120399817482	CG	HapD
Focal	0.14777553825448	CG	HapD
Undiverged	0.0244237617644126	CG	HapD
Focal	0.163254199153263	CG	HapD
Undiverged	0.239968281156623	CG	HapD
Focal	0.163857487929684	CG	HapD
Undiverged	-0.0597696627145618	CG	HapD
Focal	0.307245536123661	CG	HapD
Undiverged	0.202241145368935	CG	HapD
Focal	0.355582892322727	CG	HapD
Undiverged	-0.026314016125486	CG	HapD
Focal	0.119509350793058	CG	HapD
Undiverged	0.0313862525136486	CG	HapD
Focal	0.15576980243208	CG	HapD
Undiverged	-0.056455462651197	CG	HapD
Focal	0.234248024509387	CG	HapD
Undiverged	0.228568174845479	CG	HapD
Focal	0.22183210292166	CG	HapD
Undiverged	0.133714919552903	CG	HapD
Focal	0.165328092014066	CG	HapD
Undiverged	0.230100161949592	CG	HapD
Focal	0.229146469221041	CG	HapD
Undiverged	0.00206360366010963	CG	HapD
Focal	0.313251575810932	CG	HapD
Undiverged	0.082342909047417	CG	HapD
Focal	0.346170815327858	CG	HapD
Undiverged	-0.0477654510478779	CG	HapD
Focal	0.1436469867706	CG	HapD
Undiverged	0.32696580709853	CG	HapD
Focal	0.251295140408967	CG	HapD
Undiverged	0.166366830615554	CG	HapD
Focal	0.102308914477208	CG	HapD
Undiverged	0.0265965725135412	CG	HapD
Focal	0.114419826651137	CG	HapD
Undiverged	0.0605408661317043	CG	HapD
Focal	0.235644368713644	CG	HapD
Undiverged	0.130122909779236	CG	HapD
Focal	0.309293855066141	CG	HapD
Undiverged	0.159921819105887	CG	HapD
Focal	0.271114540729649	CG	HapD
Undiverged	0.0265698232680451	CG	HapD
Focal	0.297324219154704	CG	HapD
Undiverged	0.143470094950313	CG	HapD
Focal	0.152918177845044	CG	HapD
Undiverged	0.141905014548549	CG	HapD
Focal	-0.046037756361255	CG	HapD
Undiverged	0.150371890662105	CG	HapD
Focal	0.0676258111860268	CG	HapD
Undiverged	-0.0723884087763882	CG	HapD
Focal	0.210195216097609	CG	HapD
Undiverged	0.0901764094943157	CG	HapD
Focal	0.192101765930109	CG	HapD
Undiverged	-0.0193223443940409	CG	HapD
Focal	0.19805143996905	CG	HapD
Undiverged	0.0834234151086203	CG	HapD
Focal	-0.0229888661436016	CG	HapD
Undiverged	0.0928772247454396	CG	HapD
Focal	0.178943694939439	CG	HapD
Undiverged	0.163116450507551	CG	HapD
Focal	0.26723684640936	CG	HapD
Undiverged	0.111166991244935	CG	HapD
Focal	0.189872801579875	CG	HapD
Undiverged	0.203855840395188	CG	HapD
Focal	0.313881048600403	CG	HapD
Undiverged	0.0619789731062398	CG	HapD
Focal	0.332969310848512	CG	HapD
Undiverged	0.074952237111282	CG	HapD
Focal	0.165447182856224	CG	HapD
Undiverged	0.107280352870677	CG	HapD
Focal	0.164790203104127	CG	HapD
Undiverged	0.0144462371242919	CG	HapD
Focal	0.306560527256972	CG	HapD
Undiverged	0.0618948508422113	CG	HapD
Focal	0.293850076678445	CG	HapD
Undiverged	0.160271469151166	CG	HapD
Focal	0.212303977013362	CG	HapD
Undiverged	-0.000145181535326639	CG	HapD
Focal	0.257177387573563	CG	HapD
Undiverged	0.0237596465576247	CG	HapD
Focal	0.226966062593947	CG	HapD
Undiverged	0.166071329165792	CG	HapD
Focal	0.11192278766954	CG	HapD
Undiverged	0.127429914274663	CG	HapD
Focal	0.17142649971657	CG	HapD
Undiverged	0.147655844251002	CG	HapD
Focal	0.15904929955143	CG	HapD
Undiverged	0.0288607847456481	CG	HapD
Focal	0.142168446945156	CG	HapD
Undiverged	0.218301154424691	CG	HapD
Focal	0.186460594587809	CG	HapD
Undiverged	0.0134597042618582	CG	HapD
Focal	0.252006179524098	CG	HapD
Undiverged	0.170293182677556	CG	HapD
Focal	0.0513019990446191	CG	HapD
Undiverged	0.121117541403926	CG	HapD
Focal	0.248296220739202	CG	HapD
Undiverged	-0.042664512049617	CG	HapD
Focal	0.475139390591071	CG	HapD
Undiverged	0.0123245237520131	CG	HapD
Focal	0.323012265415645	CG	HapD
Undiverged	-0.019156244196486	CG	HapD
Focal	0.214503713911718	CG	HapD
Undiverged	0.194883206675353	CG	HapD
Focal	0.362139477113232	CG	HapD
Undiverged	0.0334129265971826	CG	HapD
Focal	0.244622598558453	CG	HapD
Undiverged	0.00487855465494516	CG	HapD
Focal	0.28935209215489	CG	HapD
Undiverged	0.137869005709603	CG	HapD
Focal	0.303637557942363	CG	HapD
Undiverged	0.107494661875178	CG	HapD
Focal	0.39546999000866	CG	HapD
Undiverged	0.167245205917013	CG	HapD
Focal	0.233683317394873	CG	HapD
Undiverged	0.237734543604876	CG	HapD
Focal	0.167171393825569	CG	HapD
Undiverged	0.0197347793052381	CG	HapD
Focal	0.269865570445155	CG	HapD
Undiverged	0.101737797426754	CG	HapD
Focal	0.210408675385642	CG	HapD
Undiverged	0.114592622985287	CG	HapD
Focal	0.12258827521768	CG	HapD
Undiverged	-0.0791412425193259	CG	HapD
Focal	0.287480456685749	CG	HapD
Undiverged	0.187782892206343	CG	HapD
Focal	0.293014901191019	CG	HapD
Undiverged	0.286347584617124	CG	HapD
Focal	0.150195519443962	CG	HapD
Undiverged	0.234901316766774	CG	HapD
Focal	0.243971769148369	CG	HapD
Undiverged	0.187384485914944	CG	HapD
Focal	0.229224849065588	CG	HapD
Undiverged	0.0584269320251659	CG	HapD
Focal	0.164346622523116	CG	HapD
Undiverged	-0.0103858264337754	CG	HapD
Focal	0.290748810366244	CG	HapD
Undiverged	0.0769366373430288	CG	HapD
Focal	0.251544513421437	CG	HapD
Undiverged	-0.150605817026122	CG	HapD
Focal	0.383732969107246	CG	HapD
Undiverged	0.134606663282257	CG	HapD
Focal	0.237793543443681	CG	HapD
Undiverged	0.0166053623449769	CG	HapD
Focal	0.340640633238826	CG	HapD
Undiverged	-0.020434407082889	CG	HapD
Focal	0.167596115065981	CG	HapD
Undiverged	-0.111871255652427	CG	HapD
Focal	0.186261675344757	CG	HapD
Undiverged	-0.0312969098101608	CG	HapD
Focal	0.229552412268908	CG	HapD
Undiverged	0.147089933485707	CG	HapD
Focal	0.296100571404229	CG	HapD
Undiverged	-0.0404261951139566	CG	HapD
Focal	0.300040461730492	CG	HapD
Undiverged	-0.0146512932603093	CG	HapD
Focal	0.180246162478226	CG	HapD
Undiverged	0.15857585513833	CG	HapD
Focal	0.263004227455479	CG	HapD
Undiverged	0.144357374270229	CG	HapD
Focal	0.234885031389989	CG	HapD
Undiverged	-0.106808651187015	CG	HapD
Focal	0.266301562321972	CG	HapD
Undiverged	0.000311083122286932	CG	HapD
Focal	0.265699240758649	CG	HapD
Undiverged	0.0168178756764738	CG	HapD
Focal	0.135623908249858	CG	HapD
Undiverged	-0.0435591829566692	CG	HapD
Focal	0.0870771764526985	CG	HapD
Undiverged	0.0327947914506302	CG	HapD
Focal	0.288585588515951	CG	HapD
Undiverged	-0.0716411263057942	CG	HapD
Focal	0.0908404901121328	CG	HapD
Undiverged	0.113613683614331	CG	HapD
Focal	0.227397327651236	CG	HapD
Undiverged	0.037237904997391	CG	HapD
Focal	0.119170300524103	CG	HapD
Undiverged	0.137704157683763	CG	HapD
Focal	0.171609498744653	CG	HapD
Undiverged	0.00735254122632546	CG	HapD
Focal	0.165977753428148	CG	HapD
Undiverged	0.143714812880188	CG	HapD
Focal	0.130093317750822	CG	HapD
Undiverged	0.221649023559299	CG	HapD
Focal	0.449554560034854	CG	HapD
Undiverged	0.0929130603803215	CG	HapD
Focal	0.248655463887089	CG	HapD
Undiverged	-0.0339762417062265	CG	HapD
Focal	0.317437353439783	CG	HapD
Undiverged	-0.077033352053501	CG	HapD
Focal	0.341600306200418	CG	HapD
Undiverged	0.0605534288561101	CG	HapD
Focal	0.245401676206379	CG	HapD
Undiverged	-0.0157079870937371	CG	HapD
Focal	0.18181583223787	CG	HapD
Undiverged	0.127946706100996	CG	HapD
Focal	0.121893354665893	CG	HapD
Undiverged	0.124546614961074	CG	HapD
Focal	0.224210275310059	CG	HapD
Undiverged	-0.0105502186669114	CG	HapD
Focal	0.416054724581126	CG	HapD
Undiverged	0.0614182665219291	CG	HapD
Focal	0.198845488307635	CG	HapD
Undiverged	-0.00347354537567363	CG	HapD
Focal	0.203571515365595	CG	HapD
Undiverged	-0.104632295576413	CG	HapD
Focal	0.297351543541316	CG	HapD
Undiverged	0.115107765269365	CG	HapD
Focal	0.0888945393067065	CG	HapD
Undiverged	0.190834672678682	CG	HapD
Focal	0.10855732470119	CG	HapD
Undiverged	0.20408851403422	CG	HapD
Focal	0.143785664877133	CG	HapD
Undiverged	0.012204764538021	CG	HapD
Focal	0.328240854104997	CG	HapD
Undiverged	0.117574169073049	CG	HapD
Focal	0.098736935692623	CG	HapD
Undiverged	0.00450501828304443	CG	HapD
Focal	0.138541518457082	CG	HapD
Undiverged	0.205484604254846	CG	HapD
Focal	0.175400471321794	CG	HapD
Undiverged	0.122802609938013	CG	HapD
Focal	0.249633677608071	CG	HapD
Undiverged	-0.0228385082364897	CG	HapD
Focal	0.231485877232874	CG	HapD
Undiverged	0.0518222827564833	CG	HapD
Focal	0.245737225421465	CG	HapD
Undiverged	0.291494275088394	CG	HapD
Focal	0.170855604182283	CG	HapD
Undiverged	0.0339080603292756	CG	HapD
Focal	0.194619219385436	CG	HapD
Undiverged	0.0774489263674418	CG	HapD
Focal	0.180054307167678	CG	HapD
Undiverged	0.124982180599311	CG	HapD
Focal	0.0347543807024269	CG	HapD
Undiverged	0.10242944123989	CG	HapD
Focal	0.245641790618945	CG	HapD
Undiverged	0.0350938139592365	CG	HapD
Focal	0.0627894320891951	CG	HapD
Undiverged	0.11512839138983	CG	HapD
Focal	0.163916827552529	CG	HapD
Undiverged	0.297201460399358	CG	HapD
Focal	0.319358765407503	CG	HapD
Undiverged	0.263684708692881	CG	HapD
Focal	0.106424972206562	CG	HapD
Undiverged	-0.0127692337650986	CG	HapD
Focal	0.184909646503239	CG	HapD
Undiverged	0.160008717167358	CG	HapD
Focal	0.283014224232807	CG	HapD
Undiverged	0.117403398637259	CG	HapD
Focal	0.0862850451617388	CG	HapD
Undiverged	0.158099244045857	CG	HapD
Focal	0.0874057082785069	CG	HapD
Undiverged	0.156431075958431	CG	HapD
Focal	0.0815923269713955	CG	HapD
Undiverged	0.15779105189975	CG	HapD
Focal	0.130575388323842	CG	HapD
Undiverged	0.163358948017382	CG	HapD
Focal	0.375661612467045	CG	HapD
Undiverged	-0.053464320415848	CG	HapD
Focal	0.0576571476756195	CG	HapD
Undiverged	0.136326757873234	CG	HapD
Focal	0.275713268913491	CG	HapD
Undiverged	0.0863643569428196	CG	HapD
Focal	0.259835383945664	CG	HapD
Undiverged	0.107847613424268	CG	HapD
Focal	0.342525661989768	CG	HapD
Undiverged	0.010079223838618	CG	HapD
Focal	0.239219958101701	CG	HapD
Undiverged	0.0251151030217415	CG	HapD
Focal	0.260840704830269	CG	HapD
Undiverged	-0.0457088056924786	CG	HapD
Focal	0.122204126614003	CG	HapD
Undiverged	-0.0808581472652646	CG	HapD
Focal	0.0880491409288096	CG	HapD
Undiverged	0.111037092204049	CG	HapD
Focal	0.188961679782588	CG	HapD
Undiverged	0.116568635159361	CG	HapD
Focal	0.34823716487383	CG	HapD
Undiverged	0.110505608066211	CG	HapD
Focal	0.272446993896741	CG	HapD
Undiverged	0.00114060558238719	CG	HapD
Focal	0.145308105553444	CG	HapD
Undiverged	0.0488588887656164	CG	HapD
Focal	0.35786673461827	CG	HapD
Undiverged	0.125636374581894	CG	HapD
Focal	0.419575649372598	CG	HapD
Undiverged	0.153146551952133	CG	HapD
Focal	0.379852930358106	CG	HapD
Undiverged	-0.0846084666406753	CG	HapD
Focal	0.268427912913949	CG	HapD
Undiverged	0.0490061903733215	CG	HapD
Focal	0.380054715436374	CG	HapD
Undiverged	-0.00180941052785713	CG	HapD
Focal	0.263478603626652	CG	HapD
Undiverged	0.0357565016740891	CG	HapD
Focal	0.170301489754186	CG	HapD
Undiverged	0.117566238171345	CG	HapD
Focal	0.267376824425684	CG	HapD
Undiverged	0.0743068104529785	CG	HapD
Focal	0.245922857163313	CG	HapD
Undiverged	0.0241188176066628	CG	HapD
Focal	0.0961003376200051	CG	HapD
Undiverged	0.0734288423355215	CG	HapD
Focal	0.211601797755968	CG	HapD
Undiverged	0.0490306134053146	CG	HapD
Focal	0.0680445687207126	CG	HapD
Undiverged	0.253203164030668	CG	HapD
Focal	0.0316821421718653	CG	HapD
Undiverged	0.217262486654261	CG	HapD
Focal	0.215358928501656	CG	HapD
Undiverged	0.170979880072039	CG	HapD
Focal	0.0195035427319512	CG	HapD
Undiverged	0.143242606282836	CG	HapD
Focal	0.213848613615967	CG	HapD
Undiverged	0.003375024349638	CG	HapD
Focal	0.221753136977529	CG	HapD
Undiverged	0.0410393601931404	CG	HapD
Focal	0.200319017101603	CG	HapD
Undiverged	0.0671377552117194	CG	HapD
Focal	0.0867928187522675	CG	HapD
Undiverged	-0.0567378836322052	CG	HapD
Focal	0.170938846994899	CG	HapD
Undiverged	0.0178721424339885	CG	HapD
Focal	0.193329393938364	CG	HapD
Undiverged	-0.136428686935172	CG	HapD
Focal	0.186098761099711	CG	HapD
Undiverged	0.0884333649199996	CG	HapD
Focal	0.250843420492689	CG	HapD
Undiverged	-0.00253534716896006	CG	HapD
Focal	0.329722220360449	CG	HapD
Undiverged	0.113429107820634	CG	HapD
Focal	0.0855536520299098	CG	HapD
Undiverged	-0.0455427942635249	CG	HapD
Focal	0.267693994968074	CG	HapD
Undiverged	-0.149503205068676	CG	HapD
Focal	0.189828614492413	CG	HapD
Undiverged	0.0331103004882479	CG	HapD
Focal	0.314493108484059	CG	HapD
Undiverged	0.169432566233909	CG	HapD
Focal	0.072342967350154	CG	HapD
Undiverged	0.103473932895782	CG	HapD
Focal	0.335959309253851	CG	HapD
Undiverged	0.075502513454901	CG	HapD
Focal	0.267792648038965	CG	HapD
Undiverged	0.0750120545332304	CG	HapD
Focal	0.258326314035891	CG	HapD
Undiverged	0.0992611451034853	CG	HapD
Focal	0.23640065431448	CG	HapD
Undiverged	0.209655890475208	CG	HapD
Focal	0.253630537988113	CG	HapD
Undiverged	0.0515086018679065	CG	HapD
Focal	0.273174427545655	CG	HapD
Undiverged	0.024706401854947	CG	HapD
Focal	0.0888197349611766	CG	HapD
Undiverged	0.0392086726984381	CG	HapD
Focal	0.381952085253531	CG	HapD
Undiverged	0.156597401656865	CG	HapD
Focal	0.197183318859915	CG	HapD
Undiverged	0.30496137259323	CG	HapD
Focal	0.0796612113780271	CG	HapD
