Group	Mean	Count
HZ_Intergenic_Focal	1.09042072951904	559
HZ_Intergenic_Undiverged	0.769585535138947	559
HZ_Intron_Focal	0.725857894593182	751
HZ_Intron_Undiverged	0.748002960056889	751
HZ_Promoter_Focal	0.529639468188148	1214
HZ_Promoter_Undiverged	0.575501016717264	1214
WGBS_CDS_Focal	0.95060457568802	963
WGBS_CDS_Undiverged	0.847511623733837	963
WGBS_Intergenic_Focal	0.968330516832479	2619
WGBS_Intergenic_Undiverged	0.90340910461436	2619
WGBS_Intron_Focal	0.96330882507707	3625
WGBS_Intron_Undiverged	0.904512043016966	3625
WGBS_Promoter_Focal	0.452001628946518	1185
WGBS_Promoter_Undiverged	0.554064680473566	1185
CG_CDS_Focal	0.734371005029195	87
CG_CDS_Undiverged	0.868609881104221	87
CG_Intergenic_Focal	1.10085179328204	344
CG_Intergenic_Undiverged	0.905300476708715	344
CG_Intron_Focal	0.729836676508632	453
CG_Intron_Undiverged	0.777440974450697	453
CG_Promoter_Focal	0.404084274895466	1298
CG_Promoter_Undiverged	0.495080541046325	1298
HZ_CDS_Focal	0.970713850695036	131
HZ_CDS_Undiverged	0.796984666538325	131
HZ_Intergenic_Focal	1.00269592239148	559
HZ_Intergenic_Undiverged	0.758500267286557	559
HZ_Intron_Focal	0.751527913666106	751
HZ_Intron_Undiverged	0.73790354915428	751
HZ_Promoter_Focal	0.530045106069008	1214
HZ_Promoter_Undiverged	0.596333102904535	1214
WGBS_CDS_Focal	0.891585670566944	963
WGBS_CDS_Undiverged	0.86885326042785	963
WGBS_Intergenic_Focal	0.968805637572996	2619
WGBS_Intergenic_Undiverged	0.901379773963826	2619
WGBS_Intron_Focal	0.953593109629782	3625
WGBS_Intron_Undiverged	0.910327954360382	3625
WGBS_Promoter_Focal	0.452446633370581	1185
WGBS_Promoter_Undiverged	0.533139636337	1185
CG_CDS_Focal	0.813993213807169	87
CG_CDS_Undiverged	1.02132924049335	87
CG_Intergenic_Focal	1.17023566779414	344
CG_Intergenic_Undiverged	0.893101081030222	344
CG_Intron_Focal	0.76082370257813	453
CG_Intron_Undiverged	0.850181199005907	453
CG_Promoter_Focal	0.425860641933979	1298
CG_Promoter_Undiverged	0.478799074075411	1298
HZ_CDS_Focal	0.893916454735046	131
HZ_CDS_Undiverged	0.786681415065161	131
HZ_Intergenic_Focal	1.04681829461129	559
HZ_Intergenic_Undiverged	0.791796473014213	559
HZ_Intron_Focal	0.745799439986916	751
HZ_Intron_Undiverged	0.725133879047391	751
HZ_Promoter_Focal	0.500122919053458	1214
HZ_Promoter_Undiverged	0.590716849891356	1214
WGBS_CDS_Focal	0.955661294369808	963
WGBS_CDS_Undiverged	0.865577737154606	963
WGBS_Intergenic_Focal	0.998047949054822	2619
WGBS_Intergenic_Undiverged	0.93377119017368	2619
WGBS_Intron_Focal	0.939164169585579	3625
WGBS_Intron_Undiverged	0.908523727946178	3625
WGBS_Promoter_Focal	0.468458976614551	1185
WGBS_Promoter_Undiverged	0.56955043372008	1185
CG_CDS_Focal	0.780687972091519	87
CG_CDS_Undiverged	0.937258443833988	87
CG_Intergenic_Focal	1.15686219915963	344
CG_Intergenic_Undiverged	0.8513635282614	344
CG_Intron_Focal	0.730191723834149	453
CG_Intron_Undiverged	0.830142894928779	453
CG_Promoter_Focal	0.400158917214429	1298
CG_Promoter_Undiverged	0.478159384096882	1298
HZ_CDS_Focal	0.919525115957607	131
HZ_CDS_Undiverged	0.761489482798903	131
HZ_Intergenic_Focal	1.0372600308598	559
HZ_Intergenic_Undiverged	0.745837931698429	559
HZ_Intron_Focal	0.766265442799536	751
HZ_Intron_Undiverged	0.769311236726601	751
HZ_Promoter_Focal	0.512031174182383	1214
HZ_Promoter_Undiverged	0.602433026301717	1214
WGBS_CDS_Focal	0.940842379036691	963
WGBS_CDS_Undiverged	0.87845619924632	963
WGBS_Intergenic_Focal	0.987175725078321	2619
WGBS_Intergenic_Undiverged	0.908311718638136	2619
WGBS_Intron_Focal	0.955664778052285	3625
WGBS_Intron_Undiverged	0.883826716011084	3625
WGBS_Promoter_Focal	0.450967171779872	1185
WGBS_Promoter_Undiverged	0.559685203138552	1185
